contrato,linea,actualLargo,nuevoCorto,colorOperativo
XG883,1,Camposancos-Tabagón-Goian-Torrón-Tui-Porriño-Vigo E.I.-Hospital Álvaro,1A,#e73640
XG883,2,Camposancos-Tabagón-Goian-Torrón-Tui-Porriño-Vigo E.I.,1A,#e73640
XG883,3,A Guarda-Tabagón-Goian-Torrón-Tui-Porriño-Hospital Álvaro Cunqueiro,1A,#e73640
XG883,4,A Guarda-Tabagón-Goian-Torrón-Tui-Porriño-Vigo E.I.,1A,#e73640
XG883,5,A Guarda-Tabagón-Eiras-Goian-Torrón-Tui-Porriño-Hospital Álvaro Cunqueiro,1D,#965f56
XG883,6,A Guarda-Tabagón-Eiras-Goian-Torrón-Tui-Porriño-Vigo E.I.,1D,#965f56
XG883,7,A Guarda-Tabagón-Goian-Tomiño-Taborda-Tui-Porriño-Hospital Álvaro,1B,#be1e2d
XG883,8,A Guarda-Tabagón-Goian-Tomiño-Taborda-Tui-Porriño-Vigo E.I.,1B,#be1e2d
XG883,9,A Guarda-Tabagón-Eiras-Goian-Tomiño-Taborda-Tui-Porriño-Vigo E.I.,1B,#be1e2d
XG883,10,A Guarda-Pancenteo-Rosal-Pías-Tabagón-Taborda-Tui-Porriño-Vigo E.I,1C,#6e161d
XG883,11,A Guarda-Pancenteo-Rosal-Pías-Tabagón-Torrón-Tui-Porriño-Hospital Álvaro,1C,#6e161d
XG883,12,Camposancos-A Guarda-Baiona-Ramallosa-Mallon-Nigran-Coruxo-Vigo E.I,2A,#34c0ef
XG883,13,Baiona-Ramallosa-Mallón-Nigrán-Coruxo-Vigo E.I.,2A,#34c0ef
XG883,14,Baiona-Ramallosa-Mallón-Nigrán-Coruxo-Vigo E.I.,2A,#34c0ef
XG883,15,A Guarda-Baiona,2A,#34c0ef
XG883,16,A Guarda-Rosal-Pías-A Guarda-Baiona-Ramallosa-Mallón-Nigrán-Coruxo-Vigo E.,2A,#34c0ef
XG883,17,A Guarda-Pancenteo-Rosal-Pías-A Guarda,5,#f492bc
XG883,18,Salceda-Bouza Panda-Empalme Casal (Budiño)-A Gándara (Guillarei)-Sobredo-A,7,#8cc63e
XG883,19,Sobredo-A Gándara (Guillarei)-Rúa Ourense,7,#8cc63e
XG883,20,A Guarda-Pancenteo-Rosal-O Morán-San Miguel-Eiras-San Miguel-Pías-A,5,#f492bc
XG883,21,A Guarda-Empalme Camposancos-O Pasaxe-Camposancos,12,#ccd963
XG883,22,Baiona-Ramallosa-Lourido-Panxon-Canido-Vigo E.I,2B,#007dab
XG883,23,Baiona-Ramallosa-Lourido-Panxon-Nigran-Coruxo-Vigo E.I ,2C,#92cedf
XG883,24,Baiona-Sabaris-Belesar-Sabaris-Ramallosa-Nigran-Tarela-San Roque-Chandebrito-Coruxo-Vigo E.I,2E,#6ba1a4
XG883,25,Fornelos-O Rosal-Tomiño-Gondomar-CUVI-Hospital Álvaro Cunqueiro-Povisa,3D,#818285
XG883,26,A Guarda-Oia-Baiona-Nigrán-CUVI-Hospital Álvaro Cunqueiro-Povisa-Vigo E.I.,2F,#00a79e
XG883,27,A Guarda-Oia-Baiona-Nigrán-Hospital Álvaro Cunqueiro-Povisa-Vigo E.I.,2F,#00a79e
XG883,28,Baiona-Ramallosa-Nigrán-Panxón-Nigrán-Coruxo-Vigo E.I,2C,#92cedf
XG883,29,Baredo-Rocamar(Baredo)-Baiona-Ramallosa-Nigrán-Coruxo-Vigo E.I.,2A,#34c0ef
XG883,30,Gondomar E.A.-Ramallosa-Nigrán-Coruxo-Vigo E.I.,3B,#f9a21b
XG883,31,Gondomar E.A.-Ramallosa-Lourido-Panxón-Canido-Vigo E.I.,3A,#fdd302
XG883,32,Chandebrito-Panxón (Pistas Tenis),2E,#6ba1a4
XG883,33,Portavedra-San Cibrán-Sabarís (Isolina),M8,#39b549
XG883,34,Avda. do Baixo Miño-Pinzas,M9,#009344
XG883,35,Baiona-Nigrán-Porto Molle-Gondomar-Baiona,6,#b51782
XG883,36,Baredo-Baiona-Ramallosa-Mallon-Camos-Nigran-Coruxo-Vigo E.I,2D,#163e6c
XG883,37,Baiona-Ramallosa-Mallon-Camos-Nigran-Coruxo-Vigo E.I,2D,#163e6c
XG883,38,Fornelos-Rosal-Tomiño-Couso-Gondomar-Vigo E.I.,3C,#eee484
XG883,39,Tomiño-Couso-Gondomar-Vigo E.I.,3C,#eee484
XG883,40,Gondomar E.A.-Rúa Areal,3C,#eee484
XG883,41,Tomiño-Couso-Morgadáns-Gondomar-Vigo E.I,3C,#eee484
XG883,42,Vigo E.I.-Gondomar E.A.-Morgadáns-Gondomar E.A.-Vigo E.I,3C,#eee484
XG883,44,Ponte Internacional-Malvas-Tui-Mosende-Alto de San Colmado-CUVI-Vigo E.I.,4,#6e309b
XG883,45,A Ramallosa-Gondomar-A Pasaxe-CUVI-Meixoeiro-Vigo E.I.,3E,#fcc578
XG883,64,Baiona-Ramallosa-Playa América-Nigrán-Panxón-Patos-Vigo-Rúa Arenal,N2,#d8dee1
XG883,65,Couso (Remedios)-Peitierios-Morgadáns-Gondomar-Ramallosa-Nigrán-Vigo E.I.,3B,#f9a21b
XG883,70,A Guarda-Oia-Baiona-Nigrán-CUVI-Hospital Álvaro Cunqueiro-Povisa-Vigo E.I.,2F,#00a79e
XG883,73,Avda. de Galicia-Praia América,PLAYA,#509adc
XG883,74,Rúa Ourense-Praia América,PLAYA,#509adc
XG883,75,PO:Nigrán: Chandebrito-Nigrán-Priegue,NIGRAN,#c6bf57
XG881,1,San Pedro de Nós-Teatro Colón,B1,#008DD2
XG881,2,Oleiros (IES Miraflores)-Teatro Colón,B3,#E31E24
XG881,3,Sada hotel Sada Palace-Oleiros-San Pedro de Nós-Teatro Colón,B6,#E31E23
XG881,4,Sada hotel Sada Palace-Santa Cruz-Teatro Colón,B8,#FFDD00
XG881,5,Sada hotel Sada Palace-Betanzos praza,D8,#2B2A29
XG881,6,Betanzos praza-Sada hotel Sada Palace,D8,#2B2A29
XG881,7,Lorbé-Mera-Rialta-Santa Cruz-Teatro Colón,B9,#FFDD00
XG881,8,Concello de Sada-Dexo-Teatro Colón,B12,#FFDD00
XG881,9,Concello de Sada-Teatro Colón,B13,#FFDD00
XG881,10,Concello de Sada-Carnoedo-Teatro Colón,B14,#FFDD00
XG881,12,Hospital Abente y Lago-Aeroporto de A Coruña,A4,#009846
XG881,14,Teatro Colón-Urbanizacion Monte Xalo,A8,#009846
XG881,15,Urbanizacion Monte Xalo-Teatro Colón,A8,#009846
XG881,16,Teatro Colón-A Silva,C1,#009846
XG881,17,Meirama-Ordes,D4,#009846
XG881,18,Teatro Colón-Univers. Laboral-Os Campons,A1,#008DD2
XG881,19,Univers. Laboral-A Cabana-Os Campons-Carral Panteon-Tabeaio,D1,#008DD2
XG881,21,Teatro Colón-Orro-Ledoño-Peiro Canteiro,B17,#009846
XG881,22,Peiro Canteiro-Ledoño-Orro-Teatro Colón,B17,#009846
XG881,23,Teatro Colón-Ledoño-Bregua-Peiro Canteiro,B18,#009846
