conc_inicio,conc_fin,bonificacion,efectivo,tpg
32003,32003,,1.55,0.84
15007,32003,,12.5,6.75
32014,32003,,3.65,1.97
36009,32003,,2.1,1.13
15018,32003,,18.2,9.83
15030,32003,,16.65,8.99
36017,32003,,8.85,4.78
27018,32003,,16.65,8.99
36023,32003,,8.85,4.78
32034,32003,,11.95,6.46
36901,32003,,11.45,6.19
36025,32003,,5.2,2.81
15041,32003,,15.1,8.15
32047,32003,,2.6,1.4
32048,32003,,13.0,7.02
27044,32003,,15.6,8.42
32059,32003,,4.15,2.24
32063,32003,,9.35,5.05
27047,32003,,8.35,4.51
15067,32003,,14.05,7.59
27048,32003,,16.65,8.99
32072,32003,,10.9,5.89
32080,32003,,7.3,3.94
32083,32003,,15.6,8.42
27001,32003,,16.15,8.72
15001,32003,,15.6,8.42
36020,32003,,7.3,3.94
27002,32003,,18.75,10.13
32001,32003,,4.7,2.54
15002,32003,,10.4,5.62
32002,32003,,3.1,1.67
27003,32003,,7.3,3.94
15003,32003,,11.95,6.46
36001,32003,,3.1,1.67
15004,32003,,18.2,9.83
15005,32003,,17.15,9.26
15006,32003,,9.35,5.05
36034,32003,,4.15,2.24
27037,32003,,13.55,7.32
15070,32003,,15.6,8.42
15081,32003,,20.3,10.96
32004,32003,,2.6,1.4
36003,32003,,7.8,4.21
27004,32003,,14.55,7.86
32005,32003,,7.8,4.21
32006,32003,,4.15,2.24
32007,32003,,5.2,2.81
27901,32003,,12.5,6.75
32008,32003,,3.1,1.67
27005,32003,,19.25,10.4
36002,32003,,9.9,5.35
32010,32003,,1.55,0.84
32011,32003,,3.65,1.97
27006,32003,,12.5,6.75
27007,32003,,12.5,6.75
15008,32003,,15.6,8.42
15009,32003,,15.6,8.42
32013,32003,,3.1,1.67
15010,32003,,10.4,5.62
15011,32003,,13.55,7.32
15012,32003,,9.35,5.05
27008,32003,,8.35,4.51
15013,32003,,10.9,5.89
36004,32003,,8.85,4.78
27902,32003,,20.8,11.23
15014,32003,,15.6,8.42
15015,32003,,17.15,9.26
36005,32003,,10.9,5.89
32016,32003,,5.7,3.08
15016,32003,,16.65,8.99
36006,32003,,10.9,5.89
15017,32003,,16.15,8.72
36007,32003,,6.75,3.65
36008,32003,,8.35,4.51
32018,32003,,1.55,0.84
32017,32003,,12.5,6.75
27009,32003,,4.7,2.54
15019,32003,,14.55,7.86
15901,32003,,21.85,11.8
15020,32003,,16.15,8.72
15021,32003,,14.05,7.59
32020,32003,,2.6,1.4
32022,32003,,1.55,0.84
32021,32003,,9.35,5.05
32023,32003,,7.3,3.94
27010,32003,,13.55,7.32
27011,32003,,13.55,7.32
36010,32003,,11.95,6.46
15022,32003,,20.8,11.23
15023,32003,,16.15,8.72
32024,32003,,2.6,1.4
32025,32003,,1.55,0.84
15024,32003,,14.05,7.59
36902,32003,,5.2,2.81
15025,32003,,20.3,10.96
27012,32003,,14.05,7.59
27013,32003,,20.3,10.96
32029,32003,,8.35,4.51
27016,32003,,5.7,3.08
15027,32003,,16.15,8.72
32026,32003,,3.65,1.97
15028,32003,,16.65,8.99
15029,32003,,14.05,7.59
32027,32003,,1.55,0.84
27015,32003,,14.05,7.59
36013,32003,,3.65,1.97
36014,32003,,2.1,1.13
32028,32003,,8.85,4.78
15031,32003,,16.15,8.72
36015,32003,,7.8,4.21
15032,32003,,11.45,6.19
15033,32003,,10.9,5.89
36016,32003,,4.7,2.54
15034,32003,,16.15,8.72
32030,32003,,5.7,3.08
32031,32003,,4.7,2.54
15035,32003,,17.7,9.56
15036,32003,,18.2,9.83
15037,32003,,17.15,9.26
27017,32003,,11.45,6.19
36018,32003,,4.15,2.24
36019,32003,,5.2,2.81
27019,32003,,19.75,10.67
15038,32003,,10.9,5.89
27020,32003,,10.9,5.89
32033,32003,,1.55,0.84
36021,32003,,7.3,3.94
27022,32003,,12.5,6.75
27023,32003,,8.85,4.78
15039,32003,,16.65,8.99
36024,32003,,5.7,3.08
27026,32003,,10.4,5.62
32038,32003,,10.9,5.89
15040,32003,,16.15,8.72
32039,32003,,8.35,4.51
32040,32003,,1.55,0.84
32041,32003,,4.7,2.54
32042,32003,,5.7,3.08
27027,32003,,18.2,9.83
15042,32003,,13.0,7.02
27028,32003,,11.45,6.19
32043,32003,,5.2,2.81
15043,32003,,16.15,8.72
32044,32003,,9.9,5.35
15044,32003,,23.4,12.64
36026,32003,,8.85,4.78
32045,32003,,2.1,1.13
15045,32003,,14.05,7.59
36027,32003,,10.9,5.89
27029,32003,,15.1,8.15
36028,32003,,9.9,5.35
15046,32003,,8.85,4.78
32046,32003,,1.55,0.84
15047,32003,,13.55,7.32
15048,32003,,16.15,8.72
36029,32003,,7.8,4.21
15049,32003,,19.75,10.67
36030,32003,,4.15,2.24
36031,32003,,4.15,2.24
27030,32003,,17.7,9.56
15050,32003,,17.7,9.56
27031,32003,,7.3,3.94
32049,32003,,6.75,3.65
32050,32003,,8.35,4.51
27032,32003,,7.8,4.21
36032,32003,,7.3,3.94
36033,32003,,5.7,3.08
15051,32003,,18.2,9.83
32051,32003,,5.2,2.81
27033,32003,,16.15,8.72
15053,32003,,15.1,8.15
15052,32003,,16.65,8.99
15054,32003,,18.2,9.83
27034,32003,,16.65,8.99
15055,32003,,18.2,9.83
15056,32003,,11.95,6.46
27035,32003,,20.3,10.96
36035,32003,,7.8,4.21
32052,32003,,4.7,2.54
15057,32003,,13.0,7.02
32009,32003,,11.95,6.46
32015,32003,,11.45,6.19
32019,32003,,2.1,1.13
27014,32003,,11.95,6.46
36022,32003,,11.45,6.19
27024,32003,,9.35,5.05
32035,32003,,3.1,1.67
27043,32003,,10.4,5.62
32058,32003,,3.65,1.97
15066,32003,,10.4,5.62
36039,32003,,5.2,2.81
36048,32003,,8.85,4.78
27058,32003,,6.75,3.65
27063,32003,,18.75,10.13
27064,32003,,23.95,12.94
36036,32003,,9.9,5.35
32053,32003,,9.35,5.05
15058,32003,,16.15,8.72
15059,32003,,12.5,6.75
15060,32003,,11.45,6.19
15061,32003,,21.85,11.8
32012,32003,,7.3,3.94
32054,32003,,3.1,1.67
27038,32003,,17.15,9.26
27039,32003,,12.5,6.75
15062,32003,,13.55,7.32
15902,32003,,16.15,8.72
15064,32003,,16.15,8.72
32055,32003,,4.15,2.24
